Training log initialized. Future training runs append INFO-level entries here.
2026-05-15 00:02:58 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=44 | reward=862.170 | epsilon=0.5143
2026-05-15 00:02:58 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=45 | reward=837.749 | epsilon=0.5066
2026-05-15 00:02:58 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=46 | reward=847.949 | epsilon=0.4990
2026-05-15 00:02:58 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=47 | reward=883.063 | epsilon=0.4915
2026-05-15 00:02:58 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=48 | reward=845.297 | epsilon=0.4841
2026-05-15 00:02:59 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=49 | reward=873.226 | epsilon=0.4768
2026-05-15 00:02:59 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=50 | reward=918.286 | epsilon=0.4697
2026-05-15 00:02:59 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=51 | reward=903.752 | epsilon=0.4626
2026-05-15 00:02:59 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=52 | reward=895.891 | epsilon=0.4557
2026-05-15 00:02:59 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=53 | reward=904.650 | epsilon=0.4489
2026-05-15 00:03:00 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=54 | reward=948.489 | epsilon=0.4421
2026-05-15 00:03:00 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=55 | reward=854.111 | epsilon=0.4355
2026-05-15 00:03:00 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=56 | reward=931.259 | epsilon=0.4290
2026-05-15 00:03:00 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=57 | reward=900.771 | epsilon=0.4225
2026-05-15 00:03:00 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=58 | reward=901.949 | epsilon=0.4162
2026-05-15 00:03:01 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=59 | reward=865.154 | epsilon=0.4100
2026-05-15 00:03:01 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=60 | reward=911.809 | epsilon=0.4038
2026-05-15 00:03:01 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=61 | reward=885.690 | epsilon=0.3977
2026-05-15 00:03:01 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=62 | reward=842.104 | epsilon=0.3918
2026-05-15 00:03:01 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=63 | reward=929.027 | epsilon=0.3859
2026-05-15 00:03:02 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=64 | reward=889.052 | epsilon=0.3801
2026-05-15 00:03:02 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=65 | reward=912.326 | epsilon=0.3744
2026-05-15 00:03:02 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=66 | reward=904.071 | epsilon=0.3688
2026-05-15 00:03:02 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=67 | reward=857.646 | epsilon=0.3633
2026-05-15 00:03:02 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=68 | reward=932.191 | epsilon=0.3578
2026-05-15 00:03:03 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=69 | reward=927.725 | epsilon=0.3525
2026-05-15 00:03:03 | INFO | DQN episode complete | run_id=dqn_e6b2a870 | episode=70 | reward=918.466 | epsilon=0.3472
